trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.9975}",20,0,-50.26784746444279,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
2,False,"{'a': 0.4, 'e': 0.9950000000000001}",25,0,-129.78287537822231,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.4, 'e': 0.9925000000000002}",30,0,-244.9812857409483,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 5}",0
4,False,"{'a': 0.4, 'e': 0.9900000000000002}",30,3,-103.6226296293253,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 2}",1
5,False,"{'a': 0.4, 'e': 0.9875000000000003}",25,0,-219.54987591135847,"{0: 11, 1: 2, 2: 6, 3: 4, 4: 2}",0
6,False,"{'a': 0.4, 'e': 0.9850000000000003}",35,0,-122.95028023117423,"{0: 24, 1: 3, 2: 5, 3: 2, 4: 1}",0
7,False,"{'a': 0.4, 'e': 0.9825000000000004}",25,0,-154.00061290878457,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
8,False,"{'a': 0.4, 'e': 0.9800000000000004}",30,0,-247.35695037040907,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 6}",0
9,False,"{'a': 0.4, 'e': 0.9775000000000005}",25,0,-83.25966148669931,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.4, 'e': 0.9750000000000005}",20,0,-128.26102394821933,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.4, 'e': 0.9725000000000006}",25,0,-177.50258500985092,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
12,False,"{'a': 0.4, 'e': 0.9700000000000006}",25,0,-34.574903742446395,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.4, 'e': 0.9675000000000007}",25,0,-144.82780332205542,"{0: 13, 1: 3, 2: 5, 3: 3, 4: 1}",0
14,False,"{'a': 0.4, 'e': 0.9650000000000007}",20,0,-85.84046717864496,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
15,False,"{'a': 0.4, 'e': 0.9625000000000008}",30,0,-112.82389213849585,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.4, 'e': 0.9600000000000009}",25,0,-190.88736729721367,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
17,False,"{'a': 0.4, 'e': 0.9575000000000009}",25,0,-120.43193169714431,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.4, 'e': 0.955000000000001}",25,0,-153.3802846505938,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.4, 'e': 0.952500000000001}",20,0,-155.55939312994323,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
20,False,"{'a': 0.4, 'e': 0.9500000000000011}",20,0,-87.34430390955039,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
21,False,"{'a': 0.4, 'e': 0.9475000000000011}",20,0,-107.99478444561127,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.4, 'e': 0.9450000000000012}",30,0,-152.9516257449581,"{0: 14, 1: 5, 2: 8, 3: 3, 4: 0}",0
23,False,"{'a': 0.4, 'e': 0.9425000000000012}",20,0,-34.82422180726979,"{0: 16, 1: 2, 2: 0, 3: 2, 4: 0}",0
24,False,"{'a': 0.4, 'e': 0.9400000000000013}",25,7,-35.096903624618434,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 0}",1
