trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,11,-61.544952854413964,"{0: 4, 1: 1, 2: 2, 3: 2, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-37.26985675030887,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.69871286053638,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.82422762534262,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.73899133729283,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-105.19717293455257,"{0: 17, 1: 5, 2: 6, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-190.6741481753211,"{0: 19, 1: 3, 2: 3, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-11.120922261109811,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.28960955925214,"{0: 10, 1: 2, 2: 5, 3: 3, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.48012785527693,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,0,-119.14959389289919,"{0: 21, 1: 3, 2: 9, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.9255993504354,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-249.79009422653905,"{0: 7, 1: 3, 2: 4, 3: 2, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.76221532658548,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.25834801993108,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-202.81666844558836,"{0: 7, 1: 2, 2: 8, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.11536944531665,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-168.04255444763405,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.68878070993931,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.75134072318147,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-156.98818263914515,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,13,-49.54532079187076,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 1}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-64.4844682822185,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-127.3844774649133,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-164.81014115056206,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-43.04283715404379,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-116.95951533042648,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-114.73313059193644,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-115.77181569174519,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-179.94664619089966,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
